station_id,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging_info,eightd_has_key_dispenser,has_kiosk,eightd_station_services,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging_status,eightd_active_station_services,total_capacity,utilization_rate
181,0b11c320-08f3-11e7-a1cb-3863bb33a4e4,Clark / Rachel,6181,45.517537449207474,-73.58241524554614,"['CREDITCARD', 'KEY']",23,False,False,False,True,,9,0,1,13,0,1,1,1,1763056533,False,False,,22,0.4090909090909091
183,0b11c5fc-08f3-11e7-a1cb-3863bb33a4e4,Laval / du Mont-Royal,6183,45.5223645775784,-73.58414590358734,"['CREDITCARD', 'KEY']",19,False,False,False,True,,7,2,0,12,0,1,1,1,1763055949,False,False,,19,0.3684210526315789
184,0b11c779-08f3-11e7-a1cb-3863bb33a4e4,Resther / du Mont-Royal,6184,45.52560376254711,-73.58171582221985,"['CREDITCARD', 'KEY']",23,False,False,False,True,,17,2,2,4,0,1,1,1,1763056103,False,False,,21,0.8095238095238095
185,0b11c8fa-08f3-11e7-a1cb-3863bb33a4e4,des Érables / Bélanger,6185,45.54912085535069,-73.60087350010872,"['CREDITCARD', 'KEY']",15,False,False,False,True,,7,1,0,8,0,1,1,1,1763055408,False,False,,15,0.4666666666666667
186,0b11ca72-08f3-11e7-a1cb-3863bb33a4e4,St-Hubert / Laurier,6186,45.52899865438042,-73.58811474407048,"['CREDITCARD', 'KEY']",19,False,False,False,True,,2,0,2,15,0,1,1,1,1763056569,False,False,,17,0.11764705882352941
187,0b11cbe1-08f3-11e7-a1cb-3863bb33a4e4,McGill / Place d'Youville,6187,45.500014581102505,-73.55625258141116,"['CREDITCARD', 'KEY']",29,False,False,False,True,,12,0,0,17,0,1,1,1,1763055569,False,False,,29,0.41379310344827586
188,0b11cd56-08f3-11e7-a1cb-3863bb33a4e4,de Mentana / Marie-Anne,6188,45.526026565221414,-73.57785880565643,"['CREDITCARD', 'KEY']",27,False,False,False,True,,10,1,0,17,0,1,1,1,1763055518,False,False,,27,0.37037037037037035
189,0b11ced7-08f3-11e7-a1cb-3863bb33a4e4,Chabot / Villeray,6189,45.552289376429215,-73.61300647258759,"['CREDITCARD', 'KEY']",15,False,False,False,True,,7,2,1,6,1,1,1,1,1763056564,False,False,,13,0.5384615384615384
190,0b11d04c-08f3-11e7-a1cb-3863bb33a4e4,Berri / Gilford,6190,45.52677632748293,-73.58606100082396,"['CREDITCARD', 'KEY']",23,False,False,False,True,,15,3,0,8,0,1,1,1,1763054214,False,False,,23,0.6521739130434783
191,0b11d1b6-08f3-11e7-a1cb-3863bb33a4e4,St-Zotique / St-Urbain,6191,45.53090273805036,-73.61400783105636,"['CREDITCARD', 'KEY']",31,False,False,False,True,,22,5,2,5,2,1,1,1,1763056065,False,False,,27,0.8148148148148148
192,0b11d31d-08f3-11e7-a1cb-3863bb33a4e4,Waverly / Bernard,6192,45.52562443297396,-73.60413372516632,"['CREDITCARD', 'KEY']",31,False,False,False,True,,8,3,1,22,0,1,1,1,1763055843,False,False,,30,0.26666666666666666
193,0b11d48b-08f3-11e7-a1cb-3863bb33a4e4,de l'Esplanade / Fairmount,6193,45.521546574453595,-73.59697759151459,"['CREDITCARD', 'KEY']",15,False,False,False,True,,6,4,1,8,0,1,1,1,1763056371,False,False,,14,0.42857142857142855
