station_id,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging_info,eightd_has_key_dispenser,has_kiosk,eightd_station_services,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging_status,eightd_active_station_services,total_capacity,utilization_rate
1,0b0fda98-08f3-11e7-a1cb-3863bb33a4e4,Drummond / de Maisonneuve,6001,45.4996545106653,-73.57633531093597,"['KEY', 'CREDITCARD']",27,False,False,False,True,,7,1,0,20,0,1,1,1,1764183560,False,False,,27,0.25925925925925924
3,0b0fe114-08f3-11e7-a1cb-3863bb33a4e4,Clark / Ontario,6003,45.510587509716636,-73.56684565544128,"['KEY', 'CREDITCARD']",19,False,False,False,True,,8,1,0,11,0,1,1,1,1764183931,False,False,,19,0.42105263157894735
4,0b0fe2b5-08f3-11e7-a1cb-3863bb33a4e4,du Champ-de-Mars / Gosford,6004,45.50965520472071,-73.55400860309601,"['KEY', 'CREDITCARD']",23,False,False,False,True,,10,0,0,13,0,1,1,1,1764178994,False,False,,23,0.43478260869565216
7,0b0fe76d-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / de Bullion,6007,45.51113072062821,-73.56280624866486,"['KEY', 'CREDITCARD']",23,False,False,False,True,,7,2,0,16,0,1,1,1,1764183697,False,False,,23,0.30434782608695654
8,0b0fe8e4-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / Sanguinet,6008,45.512936177874096,-73.56124520301817,"['KEY', 'CREDITCARD']",43,False,False,False,True,,12,0,1,30,0,1,1,1,1764184011,False,False,,42,0.2857142857142857
9,0b0fea54-08f3-11e7-a1cb-3863bb33a4e4,Crescent / de Maisonneuve,6009,45.49812041247333,-73.57759594917297,"['KEY', 'CREDITCARD']",23,False,False,False,True,,7,0,0,16,0,1,1,1,1764183806,False,False,,23,0.30434782608695654
12,0b0ff5fc-08f3-11e7-a1cb-3863bb33a4e4,Metcalfe / de Maisonneuve (sud),6012,45.501375027330134,-73.5734578129086,"['KEY', 'CREDITCARD']",23,False,False,False,True,,6,0,0,17,0,1,1,1,1764183983,False,False,,23,0.2608695652173913
13,0b0ff798-08f3-11e7-a1cb-3863bb33a4e4,Sanguinet / de Maisonneuve,6013,45.51344071816516,-73.56261849403381,"['KEY', 'CREDITCARD']",31,False,False,False,True,,25,0,0,6,0,1,1,1,1764183927,False,False,,31,0.8064516129032258
14,0b0ff906-08f3-11e7-a1cb-3863bb33a4e4,St-Denis / Ste-Catherine,6014,45.51372291221464,-73.5603104531765,"['KEY', 'CREDITCARD']",43,False,False,False,True,,36,2,0,7,0,1,1,1,1764184017,False,False,,43,0.8372093023255814
15,0b0ffa68-08f3-11e7-a1cb-3863bb33a4e4,Métro Berri-UQAM (St-Denis / de Maisonneuve),6015,45.51425199763688,-73.56150217976847,"['KEY', 'CREDITCARD']",15,False,False,False,True,,12,1,0,3,0,1,1,1,1764183568,False,False,,15,0.8
17,0b0ffd3a-08f3-11e7-a1cb-3863bb33a4e4,Marché St-Jacques (Atateken),6017,45.520665992418884,-73.5639146839003,"['KEY', 'CREDITCARD']",27,False,False,False,True,,8,1,0,19,0,1,1,1,1764183575,False,False,,27,0.2962962962962963
18,0b0ffea2-08f3-11e7-a1cb-3863bb33a4e4,St-André / Ontario,6018,45.51889,-73.56353,"['KEY', 'CREDITCARD']",19,False,False,False,True,,2,0,1,16,0,1,1,1,1764182765,False,False,,18,0.1111111111111111
19,0b100002-08f3-11e7-a1cb-3863bb33a4e4,Métro Sherbrooke (de Rigaud / Berri),6019,45.51814312154928,-73.56800436973572,"['KEY', 'CREDITCARD']",27,False,False,False,True,,13,1,1,13,0,1,1,1,1764183033,False,False,,26,0.5
20,0b100167-08f3-11e7-a1cb-3863bb33a4e4,de l'Hôtel-de-Ville / Ontario,6020,45.51374520222444,-73.56666326522826,"['KEY', 'CREDITCARD']",27,False,False,False,True,,2,0,0,25,0,1,1,1,1764181355,False,False,,27,0.07407407407407407
21,0b1002d5-08f3-11e7-a1cb-3863bb33a4e4,St-André / de Maisonneuve,6902,45.5170859607847,-73.55974048376083,"['KEY', 'CREDITCARD']",19,False,False,False,True,,16,0,1,2,0,1,1,1,1764184073,False,False,,18,0.8888888888888888
22,0b100442-08f3-11e7-a1cb-3863bb33a4e4,de la Commune / des Soeurs-Grises,6023,45.49792864726048,-73.55273187160492,"['KEY', 'CREDITCARD']",67,False,False,False,True,,46,0,0,21,0,1,1,1,1764181421,False,False,,67,0.6865671641791045
23,0b1005a1-08f3-11e7-a1cb-3863bb33a4e4,St-Dominique / St-Viateur,6024,45.52649960463402,-73.59812762595539,"['KEY', 'CREDITCARD']",31,False,False,False,True,,18,0,1,12,0,1,1,1,1764183992,False,False,,30,0.6
